Title,Company,Job Link,Apply Link,Description,img_link
AI/ML Intern,Hyperqube Ionic,https://www.linkedin.com/jobs/search-results/,https://www.linkedin.com/jobs/search-results/,"About the job
As an AI/ML intern, you will have the opportunity to work on cutting-edge projects at the intersection of artificial intelligence, machine learning and private market investments. We view this internship as a 3–6 month interview for your permanent seat at the table.

You will be using your knowledge of and experience in Python, artificial intelligence, natural language processing (NLP), neural networks, machine learning, LLMs and modern, scalable AI technologies to develop innovative, technology-driven solutions for our company.

Company Overview:

Hyperqube Ionic is at the forefront of developing scalable technology infrastructure redefining how private capital forms conviction, builds trust, and moves into companies. Through our proprietary technology and machine learning algorithms, we uncover hidden signals, standardize information, unlock better decision-making, cull noise, and ensure faster outcomes.

We are pioneering the development of the missing operating system of private markets with the objective of eliminating the outdated practices that make private markets inefficient and fragmented. We are sector- and stage-agnostic, and leverage our proprietary approaches and data gathering pipelines to uncover market intelligence most relevant to modern businesses and investors. 

Founded by an IIT Delhi alumnus, NYU Stern MBA and former NYC investment banker, the firm aims to utilize a strong understanding and know-how of private markets to deliver a compelling value proposition to all participants involved.

Key Responsibilities:

Collaborate with senior leadership to develop and implement ML algorithms to integrate into our applications
Assist in building and optimizing models for various AI applications relating to the company’s objectives
Conduct data collection, analysis and preparation for training machine learning models and developing scorecards and recommendation engines
Assist in deploying and monitoring ML models in a cloud environment (AWS/GCP/Azure)
Improve our internal knowledge base using RAG architecture to make complex private market data searchable
Working on Gen AI applications of open source or proprietary LLMs
Work on NLP projects including sentiment analysis, text classification, etc
Research and implement new AI techniques to improve existing models
Assist in designing and implementing data structures for efficient data processing
Present findings and recommendations to the AI and founding teams and contribute to the overall growth of the company

If you are passionate about AI and ML, and eager to learn and grow in this field, this internship is the perfect opportunity for you to gain valuable hands-on experience and make a real impact. Join us in shaping the future of private markets!

Desired Skills and Experience:

Experience in Python, artificial intelligence, natural language processing (NLP), neural networks, machine learning, deep learning, LLMs and data science acquired through strong academic research in the field or past internships in similar roles

Preferred Qualifications:

Bachelors or Masters in computer science, math, statistics or a related field from reputed institutions with in India or abroad
Candidates nearing graduation or recently graduated are preferred

Compensation:

Base monthly stipend
One-time assured bonus payable at the end of the internship
Performance-linked incentives payable at the end of the internship at the company’s discretion

Location:

Remote",https://media.licdn.com/dms/image/v2/D560BAQGfY7IzJUkZkg/company-logo_100_100/company-logo_100_100/0/1727618037754/hyperqube_ionic_logo?e=1776297600&v=beta&t=__p3HokvIG0Fdd4sbogfOQhdo2KD751FhygnRt9WlLM
AI/ML Intern,Hyperqube Ionic,https://www.linkedin.com/jobs/search-results/,https://www.linkedin.com/jobs/search-results/,"About the job
As an AI/ML intern, you will have the opportunity to work on cutting-edge projects at the intersection of artificial intelligence, machine learning and private market investments. We view this internship as a 3–6 month interview for your permanent seat at the table.

You will be using your knowledge of and experience in Python, artificial intelligence, natural language processing (NLP), neural networks, machine learning, LLMs and modern, scalable AI technologies to develop innovative, technology-driven solutions for our company.

Company Overview:

Hyperqube Ionic is at the forefront of developing scalable technology infrastructure redefining how private capital forms conviction, builds trust, and moves into companies. Through our proprietary technology and machine learning algorithms, we uncover hidden signals, standardize information, unlock better decision-making, cull noise, and ensure faster outcomes.

We are pioneering the development of the missing operating system of private markets with the objective of eliminating the outdated practices that make private markets inefficient and fragmented. We are sector- and stage-agnostic, and leverage our proprietary approaches and data gathering pipelines to uncover market intelligence most relevant to modern businesses and investors. 

Founded by an IIT Delhi alumnus, NYU Stern MBA and former NYC investment banker, the firm aims to utilize a strong understanding and know-how of private markets to deliver a compelling value proposition to all participants involved.

Key Responsibilities:

Collaborate with senior leadership to develop and implement ML algorithms to integrate into our applications
Assist in building and optimizing models for various AI applications relating to the company’s objectives
Conduct data collection, analysis and preparation for training machine learning models and developing scorecards and recommendation engines
Assist in deploying and monitoring ML models in a cloud environment (AWS/GCP/Azure)
Improve our internal knowledge base using RAG architecture to make complex private market data searchable
Working on Gen AI applications of open source or proprietary LLMs
Work on NLP projects including sentiment analysis, text classification, etc
Research and implement new AI techniques to improve existing models
Assist in designing and implementing data structures for efficient data processing
Present findings and recommendations to the AI and founding teams and contribute to the overall growth of the company

If you are passionate about AI and ML, and eager to learn and grow in this field, this internship is the perfect opportunity for you to gain valuable hands-on experience and make a real impact. Join us in shaping the future of private markets!

Desired Skills and Experience:

Experience in Python, artificial intelligence, natural language processing (NLP), neural networks, machine learning, deep learning, LLMs and data science acquired through strong academic research in the field or past internships in similar roles

Preferred Qualifications:

Bachelors or Masters in computer science, math, statistics or a related field from reputed institutions with in India or abroad
Candidates nearing graduation or recently graduated are preferred

Compensation:

Base monthly stipend
One-time assured bonus payable at the end of the internship
Performance-linked incentives payable at the end of the internship at the company’s discretion

Location:

Remote",N/A
AI/ML Intern,Hyperqube Ionic,https://www.linkedin.com/jobs/search-results/,https://www.linkedin.com/jobs/search-results/,"About the job
As an AI/ML intern, you will have the opportunity to work on cutting-edge projects at the intersection of artificial intelligence, machine learning and private market investments. We view this internship as a 3–6 month interview for your permanent seat at the table.

You will be using your knowledge of and experience in Python, artificial intelligence, natural language processing (NLP), neural networks, machine learning, LLMs and modern, scalable AI technologies to develop innovative, technology-driven solutions for our company.

Company Overview:

Hyperqube Ionic is at the forefront of developing scalable technology infrastructure redefining how private capital forms conviction, builds trust, and moves into companies. Through our proprietary technology and machine learning algorithms, we uncover hidden signals, standardize information, unlock better decision-making, cull noise, and ensure faster outcomes.

We are pioneering the development of the missing operating system of private markets with the objective of eliminating the outdated practices that make private markets inefficient and fragmented. We are sector- and stage-agnostic, and leverage our proprietary approaches and data gathering pipelines to uncover market intelligence most relevant to modern businesses and investors. 

Founded by an IIT Delhi alumnus, NYU Stern MBA and former NYC investment banker, the firm aims to utilize a strong understanding and know-how of private markets to deliver a compelling value proposition to all participants involved.

Key Responsibilities:

Collaborate with senior leadership to develop and implement ML algorithms to integrate into our applications
Assist in building and optimizing models for various AI applications relating to the company’s objectives
Conduct data collection, analysis and preparation for training machine learning models and developing scorecards and recommendation engines
Assist in deploying and monitoring ML models in a cloud environment (AWS/GCP/Azure)
Improve our internal knowledge base using RAG architecture to make complex private market data searchable
Working on Gen AI applications of open source or proprietary LLMs
Work on NLP projects including sentiment analysis, text classification, etc
Research and implement new AI techniques to improve existing models
Assist in designing and implementing data structures for efficient data processing
Present findings and recommendations to the AI and founding teams and contribute to the overall growth of the company

If you are passionate about AI and ML, and eager to learn and grow in this field, this internship is the perfect opportunity for you to gain valuable hands-on experience and make a real impact. Join us in shaping the future of private markets!

Desired Skills and Experience:

Experience in Python, artificial intelligence, natural language processing (NLP), neural networks, machine learning, deep learning, LLMs and data science acquired through strong academic research in the field or past internships in similar roles

Preferred Qualifications:

Bachelors or Masters in computer science, math, statistics or a related field from reputed institutions with in India or abroad
Candidates nearing graduation or recently graduated are preferred

Compensation:

Base monthly stipend
One-time assured bonus payable at the end of the internship
Performance-linked incentives payable at the end of the internship at the company’s discretion

Location:

Remote",N/A
Data Science Intern,Collegedunia,https://www.linkedin.com/jobs/search-results/,https://www.linkedin.com/jobs/search-results/,"About the job
Location: Gurgaon
Mode: Work From Office (WFO)
Duration: 6 months (extendable based on performance)

About the Role
We are looking for a motivated Data Science Intern to support our AI, analytics, and automation initiatives. The
ideal candidate should have strong analytical skills, hands-on experience with Python/ML basics, and a
willingness to explore advanced AI workflows.

Key Responsibilities (KRAs)
1. Build and maintain deep learning models for analytical, forecasting, and predictive use cases.
2. Develop Agentic AI workflows and automation pipelines to enhance productivity and system efficiency.
3. Perform data cleaning, preprocessing, and feature engineering to prepare high-quality datasets.
4. Collaborate with cross-functional teams to deliver data-driven solutions aligned with business needs.

Requirements
 Strong understanding of Python, Machine Learning, and basic Deep Learning (TensorFlow/PyTorch).
 Good knowledge of data preprocessing, EDA, and feature engineering.
 Familiarity with LLMs, agent-based systems, or automation pipelines (bonus).
 Experience with SQL and basic data structures.
 Ability to work in a fast-paced team environment and learn quickly.

Good to Have
 Prior academic/industry ML projects (NLP, LLMs, automation, etc.).
 Knowledge of cloud platforms (AWS/GCP/Azure).
 Exposure to MLOps or workflow orchestration tools.",https://media.licdn.com/dms/image/v2/C560BAQHCm62VvmUA0Q/company-logo_100_100/company-logo_100_100/0/1630657086263/collegedunia_logo?e=1776297600&v=beta&t=H5QRjmBdkIx3jtIsLw28KsvEA0QBGBt9RYy9QATNQUA
Data Science Intern,Collegedunia,https://www.linkedin.com/jobs/search-results/,https://www.linkedin.com/jobs/search-results/,"About the job
Location: Gurgaon
Mode: Work From Office (WFO)
Duration: 6 months (extendable based on performance)

About the Role
We are looking for a motivated Data Science Intern to support our AI, analytics, and automation initiatives. The
ideal candidate should have strong analytical skills, hands-on experience with Python/ML basics, and a
willingness to explore advanced AI workflows.

Key Responsibilities (KRAs)
1. Build and maintain deep learning models for analytical, forecasting, and predictive use cases.
2. Develop Agentic AI workflows and automation pipelines to enhance productivity and system efficiency.
3. Perform data cleaning, preprocessing, and feature engineering to prepare high-quality datasets.
4. Collaborate with cross-functional teams to deliver data-driven solutions aligned with business needs.

Requirements
 Strong understanding of Python, Machine Learning, and basic Deep Learning (TensorFlow/PyTorch).
 Good knowledge of data preprocessing, EDA, and feature engineering.
 Familiarity with LLMs, agent-based systems, or automation pipelines (bonus).
 Experience with SQL and basic data structures.
 Ability to work in a fast-paced team environment and learn quickly.

Good to Have
 Prior academic/industry ML projects (NLP, LLMs, automation, etc.).
 Knowledge of cloud platforms (AWS/GCP/Azure).
 Exposure to MLOps or workflow orchestration tools.",N/A
Data Science Intern,Collegedunia,https://www.linkedin.com/jobs/search-results/,https://www.linkedin.com/jobs/search-results/,"About the job
Location: Gurgaon
Mode: Work From Office (WFO)
Duration: 6 months (extendable based on performance)

About the Role
We are looking for a motivated Data Science Intern to support our AI, analytics, and automation initiatives. The
ideal candidate should have strong analytical skills, hands-on experience with Python/ML basics, and a
willingness to explore advanced AI workflows.

Key Responsibilities (KRAs)
1. Build and maintain deep learning models for analytical, forecasting, and predictive use cases.
2. Develop Agentic AI workflows and automation pipelines to enhance productivity and system efficiency.
3. Perform data cleaning, preprocessing, and feature engineering to prepare high-quality datasets.
4. Collaborate with cross-functional teams to deliver data-driven solutions aligned with business needs.

Requirements
 Strong understanding of Python, Machine Learning, and basic Deep Learning (TensorFlow/PyTorch).
 Good knowledge of data preprocessing, EDA, and feature engineering.
 Familiarity with LLMs, agent-based systems, or automation pipelines (bonus).
 Experience with SQL and basic data structures.
 Ability to work in a fast-paced team environment and learn quickly.

Good to Have
 Prior academic/industry ML projects (NLP, LLMs, automation, etc.).
 Knowledge of cloud platforms (AWS/GCP/Azure).
 Exposure to MLOps or workflow orchestration tools.",N/A
"Data Science Internship in Noida, Gurgaon, Delhi, Faridabad, Ghaziabad",MCUBE AI PRIVATE LIMITED,https://www.linkedin.com/jobs/search-results/,https://www.linkedin.com/jobs/search-results/,"About the job
This job is sourced from a job board. Learn More
work location - Gurgaon

Selected Intern's Day-to-day Responsibilities Include

 Work closely with our team of data scientists to analyze and interpret complex data sets.
 Research emerging trends in data science and AI to drive innovation.
 Assist in data cleaning, preprocessing, and visualization to extract actionable insights.
 Present findings and recommendations to senior management clearly and concisely.
 Develop and implement machine learning models to improve our AI algorithms.
 Utilize NLP techniques to enhance our natural language processing capabilities.
 Collaborate with cross-functional teams to integrate AI solutions into our products.

About Company: We are an AI native product development organization, where we design and ship fully AI-native products - from concept to production. Whether we are building an AI-powered app, internal platform, automation suite, or enterprise tool, we engineer systems that treat AI as the core engine, not an add-on.

Desired Skills and Experience
Natural Language Processing (NLP), Deep Learning, Artificial intelligence, Python, SQL, Data Analytics, Machine Learning, Data Science",https://media.licdn.com/dms/image/v2/D560BAQEyDj86mzIOjA/company-logo_100_100/B56ZyJx4.fJUAU-/0/1771838083496?e=1776297600&v=beta&t=6bpDxSYgoD0n6ezP8Auy-55nOVNgmcT27btciSk0hI4
"Data Science Internship in Noida, Gurgaon, Delhi, Faridabad, Ghaziabad",MCUBE AI PRIVATE LIMITED,https://www.linkedin.com/jobs/search-results/,https://www.linkedin.com/jobs/search-results/,"About the job
This job is sourced from a job board. Learn More
work location - Gurgaon

Selected Intern's Day-to-day Responsibilities Include

 Work closely with our team of data scientists to analyze and interpret complex data sets.
 Research emerging trends in data science and AI to drive innovation.
 Assist in data cleaning, preprocessing, and visualization to extract actionable insights.
 Present findings and recommendations to senior management clearly and concisely.
 Develop and implement machine learning models to improve our AI algorithms.
 Utilize NLP techniques to enhance our natural language processing capabilities.
 Collaborate with cross-functional teams to integrate AI solutions into our products.

About Company: We are an AI native product development organization, where we design and ship fully AI-native products - from concept to production. Whether we are building an AI-powered app, internal platform, automation suite, or enterprise tool, we engineer systems that treat AI as the core engine, not an add-on.

Desired Skills and Experience
Natural Language Processing (NLP), Deep Learning, Artificial intelligence, Python, SQL, Data Analytics, Machine Learning, Data Science",N/A
"Data Science Internship in Noida, Gurgaon, Delhi, Faridabad, Ghaziabad",MCUBE AI PRIVATE LIMITED,https://www.linkedin.com/jobs/search-results/,https://www.linkedin.com/jobs/search-results/,"About the job
This job is sourced from a job board. Learn More
work location - Gurgaon

Selected Intern's Day-to-day Responsibilities Include

 Work closely with our team of data scientists to analyze and interpret complex data sets.
 Research emerging trends in data science and AI to drive innovation.
 Assist in data cleaning, preprocessing, and visualization to extract actionable insights.
 Present findings and recommendations to senior management clearly and concisely.
 Develop and implement machine learning models to improve our AI algorithms.
 Utilize NLP techniques to enhance our natural language processing capabilities.
 Collaborate with cross-functional teams to integrate AI solutions into our products.

About Company: We are an AI native product development organization, where we design and ship fully AI-native products - from concept to production. Whether we are building an AI-powered app, internal platform, automation suite, or enterprise tool, we engineer systems that treat AI as the core engine, not an add-on.

Desired Skills and Experience
Natural Language Processing (NLP), Deep Learning, Artificial intelligence, Python, SQL, Data Analytics, Machine Learning, Data Science",https://media.licdn.com/dms/image/v2/D560BAQEyDj86mzIOjA/company-logo_100_100/B56ZyJx4.fJUAU-/0/1771838083496?e=1776297600&v=beta&t=6bpDxSYgoD0n6ezP8Auy-55nOVNgmcT27btciSk0hI4
"Data Science Internship in Noida, Gurgaon, Delhi, Faridabad, Ghaziabad",MCUBE AI PRIVATE LIMITED,https://www.linkedin.com/jobs/search-results/,https://www.linkedin.com/jobs/search-results/,"About the job
This job is sourced from a job board. Learn More
work location - Gurgaon

Selected Intern's Day-to-day Responsibilities Include

 Work closely with our team of data scientists to analyze and interpret complex data sets.
 Research emerging trends in data science and AI to drive innovation.
 Assist in data cleaning, preprocessing, and visualization to extract actionable insights.
 Present findings and recommendations to senior management clearly and concisely.
 Develop and implement machine learning models to improve our AI algorithms.
 Utilize NLP techniques to enhance our natural language processing capabilities.
 Collaborate with cross-functional teams to integrate AI solutions into our products.

About Company: We are an AI native product development organization, where we design and ship fully AI-native products - from concept to production. Whether we are building an AI-powered app, internal platform, automation suite, or enterprise tool, we engineer systems that treat AI as the core engine, not an add-on.

Desired Skills and Experience
Natural Language Processing (NLP), Deep Learning, Artificial intelligence, Python, SQL, Data Analytics, Machine Learning, Data Science",N/A
"AI Researcher, Speech & Audio, Intern | Josh Talks",Josh Talks,https://www.linkedin.com/jobs/search-results/,https://www.linkedin.com/jobs/search-results/,"About the job
This job is sourced from a job board. Learn More
form :https://forms.gle/ncGqEJrJDvEDhXtL7

AI Researcher, Speech & Audio, Intern -

Internship Opportunity at JoshTalks AI Lab

(ai.joshtalks.com)

Location: Gurgaon, India

Type: Full-time Internship (6–12 months)

Who: Final-year engineering students or recent graduates passionate about AI/ML

in speech

About Us

At JoshTalks AI Lab, we believe that voice will be the primary medium of interaction

between man and machine. Our mission is simple yet ambitious:

Help machines talk like humans.
Build the benchmarks and datasets that become the backbone of global

progress in speech AI.

Drive improvements not just through compute or algorithms — but through

high-quality, diverse, real-world data.

Our datasets today power some of the largest and most widely used speech

models in the world (you’ve definitely used them, even if we can’t name them

😉).

What You’ll Work On

This is not a “just another internship.” You’ll be directly contributing to the global

Race To Perfect Speech AI

 Benchmarking the world’s speech models

○ Design and run evaluations for ASR and speech-to-speech systems.

○ Create benchmarks that will guide top AI labs on where their models

fail and where they shine.

 Modeling & Fine-Tuning

○ Fine-tune speech recognition systems (like Whisper/wav2vec2) to push

Word Error Rates toward ~5%.

○ Experiment with multilingual, code-switched, and noisy speech

to mimic real-world conditions.

 Impact at Scale

○ Your work won’t just sit in a paper. It will influence how the

world’s largest AI models get built, tested, and improved.

Who We’re Looking For

Final-year undergraduates (B.Tech/B.E.) in CSE, EE, AI/ML, or related fields.
Strong interest in speech, audio, NLP, or multimodal AI.
Hands-on experience in one or more of:

○ Fine-tuning speech or language models (Whisper, wav2vec2,

HuBERT, SER, etc.)

○ Building speech-driven projects (assistants, classifiers, chatbots,

SER systems)

○ Working with PyTorch, TensorFlow, or Hugging Face transformers.

Bonus: past projects on GitHub, Kaggle, or research papers.

Why Join Us

Ownership: Even as a final-year student, you’ll get the chance to own

problems of global importance — from reducing ASR word error rates toward

5% to building benchmarks that influence how the next generation of

Speech-to-speech Models Are Developed. These Are Not Side Projects

the problems you’ll work on may define how billions of people interact

with machines in the future.

Front-row seat in speech AI: Your work will shape benchmarks and datasets

used by the world’s top model labs.

Learning: Work with experts solving speech challenges across 20+

Indian languages and noisy, real-world audio.

Impactful projects: The benchmarks and models you help build will

set direction for global AI progress.

Startup energy, global scale: Small team, big impact — perfect for ambitious

builders.

Co-Authorship: If any of the work you contribute to is published as a paper,

benchmark report, or dataset release, you will be credited as a co-author.

This means your contributions won’t just stay inside the lab — they’ll be

visible to the wider research community and part of the academic and

industry record.

Details

Location: Gurgaon (on-site preferred for collaboration)
Duration: 6–12 months
Type: Paid Internship (full-time)
Start Date: Flexible for final-year students (aligns with academic calendar)

If you’re someone who dreams of making speech AI as natural as human

conversation, this is your chance to work on the real frontier. Super interested?

Skills:- Machine Learning (ML)",https://media.licdn.com/dms/image/v2/C4D0BAQEhXz8cBVn4Vw/company-logo_100_100/company-logo_100_100/0/1672770926771/joshtalks_logo?e=1776297600&v=beta&t=4glboJZMLKY_sJS8edDbb-uZFG6cDzkc9lquXtMkABk
"AI Researcher, Speech & Audio, Intern | Josh Talks",Josh Talks,https://www.linkedin.com/jobs/search-results/,https://www.linkedin.com/jobs/search-results/,"About the job
This job is sourced from a job board. Learn More
form :https://forms.gle/ncGqEJrJDvEDhXtL7

AI Researcher, Speech & Audio, Intern -

Internship Opportunity at JoshTalks AI Lab

(ai.joshtalks.com)

Location: Gurgaon, India

Type: Full-time Internship (6–12 months)

Who: Final-year engineering students or recent graduates passionate about AI/ML

in speech

About Us

At JoshTalks AI Lab, we believe that voice will be the primary medium of interaction

between man and machine. Our mission is simple yet ambitious:

Help machines talk like humans.
Build the benchmarks and datasets that become the backbone of global

progress in speech AI.

Drive improvements not just through compute or algorithms — but through

high-quality, diverse, real-world data.

Our datasets today power some of the largest and most widely used speech

models in the world (you’ve definitely used them, even if we can’t name them

😉).

What You’ll Work On

This is not a “just another internship.” You’ll be directly contributing to the global

Race To Perfect Speech AI

 Benchmarking the world’s speech models

○ Design and run evaluations for ASR and speech-to-speech systems.

○ Create benchmarks that will guide top AI labs on where their models

fail and where they shine.

 Modeling & Fine-Tuning

○ Fine-tune speech recognition systems (like Whisper/wav2vec2) to push

Word Error Rates toward ~5%.

○ Experiment with multilingual, code-switched, and noisy speech

to mimic real-world conditions.

 Impact at Scale

○ Your work won’t just sit in a paper. It will influence how the

world’s largest AI models get built, tested, and improved.

Who We’re Looking For

Final-year undergraduates (B.Tech/B.E.) in CSE, EE, AI/ML, or related fields.
Strong interest in speech, audio, NLP, or multimodal AI.
Hands-on experience in one or more of:

○ Fine-tuning speech or language models (Whisper, wav2vec2,

HuBERT, SER, etc.)

○ Building speech-driven projects (assistants, classifiers, chatbots,

SER systems)

○ Working with PyTorch, TensorFlow, or Hugging Face transformers.

Bonus: past projects on GitHub, Kaggle, or research papers.

Why Join Us

Ownership: Even as a final-year student, you’ll get the chance to own

problems of global importance — from reducing ASR word error rates toward

5% to building benchmarks that influence how the next generation of

Speech-to-speech Models Are Developed. These Are Not Side Projects

the problems you’ll work on may define how billions of people interact

with machines in the future.

Front-row seat in speech AI: Your work will shape benchmarks and datasets

used by the world’s top model labs.

Learning: Work with experts solving speech challenges across 20+

Indian languages and noisy, real-world audio.

Impactful projects: The benchmarks and models you help build will

set direction for global AI progress.

Startup energy, global scale: Small team, big impact — perfect for ambitious

builders.

Co-Authorship: If any of the work you contribute to is published as a paper,

benchmark report, or dataset release, you will be credited as a co-author.

This means your contributions won’t just stay inside the lab — they’ll be

visible to the wider research community and part of the academic and

industry record.

Details

Location: Gurgaon (on-site preferred for collaboration)
Duration: 6–12 months
Type: Paid Internship (full-time)
Start Date: Flexible for final-year students (aligns with academic calendar)

If you’re someone who dreams of making speech AI as natural as human

conversation, this is your chance to work on the real frontier. Super interested?

Skills:- Machine Learning (ML)",N/A
Computer Vision Intern,Flick2Know,https://www.linkedin.com/jobs/search-results/,https://www.linkedin.com/jobs/search-results/,"About the job
We are looking for a Computer Vision Intern to assist in building and refining our image recognition pipeline. The role will start with dataset management—image collection, annotation validation, dataset cleaning, and preprocessing. Once the foundational data work is complete, you’ll get hands-on exposure to model training, augmentation, and evaluation, contributing directly to our production-ready pipeline.

Responsibilities

For one in the Seat:

Organize, clean, and preprocess large-scale retail image datasets.
Validate and manage annotations (bounding boxes, class labels, segmentation masks if applicable) using tools like Roboflow or CVAT or LabelImg.
Apply augmentation techniques and prepare datasets for training.
Support in training YOLOv5/YOLOv8-based models on custom datasets.
Run model evaluations (Precision, Recall, F1 Score, SKU-level accuracy).
Collaborate with the product team to improve real-world inference quality.
Document the dataset pipeline and share insights for improving data quality.

Must Have

Who we're looking for:

Basic understanding of Computer Vision concepts (Object Detection, Classification)
Familiarity with Python (OpenCV, Pandas, NumPy)
Knowledge of image annotation tools (Roboflow, LabelImg, CVAT, etc.)
Ability to manage and organise large datasets

Good To Have

Experience with YOLOv5 or YOLOv8 (Training, Inference, Fine-tuning)
Exposure to image augmentation techniques (Albumentations, etc.)
Understanding of retail/commercial shelf datasets or product detection problems
Previous internship or project experience in computer vision is a plus",https://media.licdn.com/dms/image/v2/C4E0BAQEgY_MrJX98Ww/company-logo_100_100/company-logo_100_100/0/1631348826733?e=1776297600&v=beta&t=TzrkyqRv7ENwPpFDCL1hxmDLYHgh8WOiDT92ZEVZ5iA
Computer Vision Intern,Flick2Know,https://www.linkedin.com/jobs/search-results/,https://www.linkedin.com/jobs/search-results/,"About the job
We are looking for a Computer Vision Intern to assist in building and refining our image recognition pipeline. The role will start with dataset management—image collection, annotation validation, dataset cleaning, and preprocessing. Once the foundational data work is complete, you’ll get hands-on exposure to model training, augmentation, and evaluation, contributing directly to our production-ready pipeline.

Responsibilities

For one in the Seat:

Organize, clean, and preprocess large-scale retail image datasets.
Validate and manage annotations (bounding boxes, class labels, segmentation masks if applicable) using tools like Roboflow or CVAT or LabelImg.
Apply augmentation techniques and prepare datasets for training.
Support in training YOLOv5/YOLOv8-based models on custom datasets.
Run model evaluations (Precision, Recall, F1 Score, SKU-level accuracy).
Collaborate with the product team to improve real-world inference quality.
Document the dataset pipeline and share insights for improving data quality.

Must Have

Who we're looking for:

Basic understanding of Computer Vision concepts (Object Detection, Classification)
Familiarity with Python (OpenCV, Pandas, NumPy)
Knowledge of image annotation tools (Roboflow, LabelImg, CVAT, etc.)
Ability to manage and organise large datasets

Good To Have

Experience with YOLOv5 or YOLOv8 (Training, Inference, Fine-tuning)
Exposure to image augmentation techniques (Albumentations, etc.)
Understanding of retail/commercial shelf datasets or product detection problems
Previous internship or project experience in computer vision is a plus",N/A
Computer Vision Intern,FieldAssist,https://www.linkedin.com/jobs/search-results/,https://www.linkedin.com/jobs/search-results/,"About the job
We are looking for a Computer Vision Intern to assist in building and refining our image recognition pipeline. The role will start with dataset management—image collection, annotation validation, dataset cleaning, and preprocessing. Once the foundational data work is complete, you’ll get hands-on exposure to model training, augmentation, and evaluation, contributing directly to our production-ready pipeline.

For one in the Seat:

Responsibilities

Organize, clean, and preprocess large-scale retail image datasets.
Validate and manage annotations (bounding boxes, class labels, segmentation masks if applicable) using tools like Roboflow or CVAT or LabelImg.
Apply augmentation techniques and prepare datasets for training.
Support in training YOLOv5/YOLOv8-based models on custom datasets.
Run model evaluations (Precision, Recall, F1 Score, SKU-level accuracy).
Collaborate with the product team to improve real-world inference quality.
Document the dataset pipeline and share insights for improving data quality.


Who we're looking for:

Must Have:

Basic understanding of Computer Vision concepts (Object Detection, Classification)
Familiarity with Python (OpenCV, Pandas, NumPy)
Knowledge of image annotation tools (Roboflow, LabelImg, CVAT, etc.)
Ability to manage and organise large datasets


Good to have:

Experience with YOLOv5 or YOLOv8 (Training, Inference, Fine-tuning)
Exposure to image augmentation techniques (Albumentations, etc.)
Understanding of retail/commercial shelf datasets or product detection problems
Previous internship or project experience in computer vision is a plus",https://media.licdn.com/dms/image/v2/C4E0BAQGmAYOqBR5fMQ/company-logo_100_100/company-logo_100_100/0/1630614064062/fieldassist_logo?e=1776297600&v=beta&t=437bxOlGDi91AmCPu1tbAePGWHYdkhagMtWMHOraqY4
Computer Vision Intern,FieldAssist,https://www.linkedin.com/jobs/search-results/,https://www.linkedin.com/jobs/search-results/,"About the job
We are looking for a Computer Vision Intern to assist in building and refining our image recognition pipeline. The role will start with dataset management—image collection, annotation validation, dataset cleaning, and preprocessing. Once the foundational data work is complete, you’ll get hands-on exposure to model training, augmentation, and evaluation, contributing directly to our production-ready pipeline.

For one in the Seat:

Responsibilities

Organize, clean, and preprocess large-scale retail image datasets.
Validate and manage annotations (bounding boxes, class labels, segmentation masks if applicable) using tools like Roboflow or CVAT or LabelImg.
Apply augmentation techniques and prepare datasets for training.
Support in training YOLOv5/YOLOv8-based models on custom datasets.
Run model evaluations (Precision, Recall, F1 Score, SKU-level accuracy).
Collaborate with the product team to improve real-world inference quality.
Document the dataset pipeline and share insights for improving data quality.


Who we're looking for:

Must Have:

Basic understanding of Computer Vision concepts (Object Detection, Classification)
Familiarity with Python (OpenCV, Pandas, NumPy)
Knowledge of image annotation tools (Roboflow, LabelImg, CVAT, etc.)
Ability to manage and organise large datasets


Good to have:

Experience with YOLOv5 or YOLOv8 (Training, Inference, Fine-tuning)
Exposure to image augmentation techniques (Albumentations, etc.)
Understanding of retail/commercial shelf datasets or product detection problems
Previous internship or project experience in computer vision is a plus",N/A
