Title,Company,Job Link,Apply Link,Description,img_link
Senior Front-End Engineer,Payoneer,https://www.linkedin.com/jobs/search-results/,https://www.linkedin.com/jobs/search-results/,"About the job
About Payoneer

Founded in 2005, Payoneer is the global financial platform that removes friction from doing business across borders, with a mission to connect the world’s underserved businesses to a rising global economy. We’re a community with over 2,500 colleagues all over the world, working to serve customers, and partners in over 190 countries and territories.

By taking the complexity out of the financial workflows–including everything from global payments and compliance to multi-currency and workforce management, to providing working capital and business intelligence–we give businesses the tools they need to work efficiently worldwide and grow with confidence.

Location: Gurugram - India

Full-time

Role Summary

We are seeking a creative and skilled Frontend Developer to build modern, responsive, and high performance web applications. You will collaborate closely with our design, backend, and product teams to implement new features, enhance user experiences, and maintain existing applications

What You’ll Be Spending Your Time On

Play a key role in shaping the future of Payoneer’s application UI and setting high standards and best practices.
Building the UI of a comprehensive React application and developing our products and code for millions of customers in the fintech industry
Solving complex problems with creative and practical solutions
Implement features and user interfaces of Payoneer’s customers cross border
Design and build efficient, reusable, scalable & testable FrontEnd
Collaborate with our amazing Product Designers, Product Managers, and Software Engineers to deliver compelling user-facing products
Proactively identify areas of improvement in team systems, processes, and scalability
Lead by example in code quality, contributing significantly to code reviews
Monitor production systems and investigate potential issues

Have You Done This Kind Of Stuff

At least 6 years of experience in client-side development
6+ years of JavaScript/TypeScript experience including asynchronous programming and closures
6+ years of experience using React and the latest technologies
Hands-on experience with web applications architecture
Ability to collaborate effectively and communicate technical concepts to diverse stakeholders
Excellent communication skills – high level of English

Not a Must, But a Great Advantage

Experience working in a Saas product company.
Experience with Context, Router 5, Styled Components.
Familiarity in server-side technologies
BTech/BA/BSc in Computer Science, Software Engineering.

The Payoneer Ways of Working

Act as our customer’s partner on the inside

Learning what they need and creating what will help them go further.

Do it. Own it.

Being fearlessly accountable in everything we do.

Continuously improve

Always striving for a higher standard than our last.

Build Each Other Up

Helping each other grow, as professionals and people.

If this sounds like a business, a community, and a mission you want to be part of, apply today.

We are committed to providing a diverse and inclusive workplace. Payoneer is an equal opportunity employer, and all qualified applicants will receive consideration for employment no matter your race, color, ancestry, religion, sex, sexual orientation, gender identity, national origin, age, disability status, protected veteran status, or any other characteristic protected by law. If you require reasonable accommodation at any stage of the hiring process, please speak to the recruiter managing the role for any adjustments. Decisions about requests for reasonable accommodation are made on a case-by-case basis.",https://media.licdn.com/dms/image/v2/C4E0BAQFzwwhT0BgD9A/company-logo_100_100/company-logo_100_100/0/1630635845864/payoneer_logo?e=1776297600&v=beta&t=pyUPmVYzoM2D9T5-hCBjUs5I7HYG8X8htCvcUbrfxMM
SDE II - Frontend,Skeps,https://www.linkedin.com/jobs/search-results/,https://www.linkedin.com/jobs/search-results/,"About the job
This job is sourced from a job board. Learn More
We are looking for a highly skilled SDE II Frontend Developer with a strong design sense and hands-on experience in modern JavaScript frameworks. The ideal candidate should be passionate about building seamless user experiences and scalable interfaces for web applications.

Responsibilities

Collaborate with UX/UI designers, product managers, and backend developers to implement responsive, high-performance web applications.
Translate design wireframes and mockups into pixel-perfect, functional frontend code.
Build reusable components and front-end libraries using modern frameworks like Angular (v10+), React, or Vue.
Maintain cross-browser compatibility and responsive design across various screen sizes and devices.
Work with RESTful APIs and handle asynchronous data handling using modern JavaScript techniques (fetch, axios, etc. ).
Write unit and integration tests using frameworks like Jasmine, Karma, or Jest.
Optimize application performance and scalability.
Contribute to design decisions, UI/UX improvements, and best practices across the frontend architecture.

Requirements

4+ years of experience in front-end development with a strong foundation in UI/UX design principles.
2+ years of experience with modern JavaScript frameworks such as Angular 2+ (preferably Angular 10+), React.js, or Vue.js .
Proficient in HTML5 CSS3 JavaScript (ES6/ESNext), and front-end build tools like Webpack or Vite.
Strong knowledge of UI component libraries such as Angular Material, Bootstrap, or Tailwind CSS.
Experience with data visualization libraries like D3.js, C3.js, Chart.js, or similar.
Familiarity with state management tools like NgRx, Redux, or Vuex.
Deep understanding of JavaScript quirks, scope, closure, promises, and async/await.
Experience with UI modularization, reusable components, and design system integration.
Comfortable working with RESTful APIs and tools like Postman and Swagger.
Solid understanding of cross-browser compatibility issues and techniques to resolve them.
Keen eye for detail and a strong commitment to delivering high-quality user experiences.
Excellent problem-solving, debugging, and multitasking skills.

This job was posted by Laveena Soni from Skeps.

Desired Skills and Experience
CSS,HTML,JavaScript,Angular,React.js,Vue.js",https://media.licdn.com/dms/image/v2/D560BAQHCdax-1oXSeg/company-logo_100_100/company-logo_100_100/0/1689320923681/skepsofficial_logo?e=1776297600&v=beta&t=qAdmuMtqyNvIHNPtfLxAKERQq9URvFBAey5JraM2-5s
Frontend Developer II [ReactJS],Uplers,https://www.linkedin.com/jobs/search-results/,https://www.linkedin.com/jobs/search-results/,"About the job
Experience: 3.00 + years

Salary: Confidential (based on experience)

Shift: (GMT+05:30) Asia/Kolkata (IST)

Opportunity Type: Office ()

Placement Type: Full time Permanent Position

(*Note: This is a requirement for one of Uplers' client - 1digitalstack.ai)

What do you need for this opportunity?

Must have skills required:

React.js, Javascript (es6+), TypeScript, Redux, HTML5, CSS3, SCSS/SASS

1digitalstack.ai is Looking for: 

Job Description:

Frontend Developer II [ReactJS]

Location: Gurgaon (preferred) / Remote

Experience: 3+ years

About 1DigitalStack.ai

1DigitalStack.ai is a technology company combining AI with deep eCommerce data expertise to help global brands grow faster on e-marketplaces. Our platforms deliver advanced analytics, actionable intelligence, and media automation — enabling brands to optimize performance at scale. We work with India’s top consumer companies — including Unilever, Marico, Coca-Cola, Tata Consumer, Dabur, and Unicharm — across 125+ marketplaces globally. We are product-first, data-obsessed, and committed to building tools that drive real business outcomes. As we expand, we’re looking for passionate, high-agency frontend developers to help us craft world-class user experiences from India.

Role Overview

As a Frontend Developer, you’ll be part of our core product-engineering team, working closely with product managers, designers, and backend engineers to deliver intuitive, scalable, and high-performance user interfaces. You’ll help shape the frontend foundation of platforms used by some of the most respected brands in the country.

What You’ll Do

Build responsive, reusable React components and user-facing features
Translate UI/UX designs and product workflows into high-quality code
Integrate seamlessly with backend APIs and define scalable data flows
Optimize applications for performance, responsiveness, and accessibility
Contribute to internal component libraries and design systems
Participate in code reviews, testing, and debugging processes


Requirements

3+ years of frontend development experience, with at least 2 years working in React.js
Strong proficiency in JavaScript (ES6+), TypeScript, and modern state management (Redux, Zustand, etc.)
Solid understanding of HTML5, CSS3, SCSS/SASS, and responsive UI principles
Experience integrating RESTful APIs; GraphQL knowledge is a bonus
Comfortable with testing frameworks (Jest, RTL), Git, Webpack, and CI/CD pipelines
Prior experience in SaaS product development or fast-paced startup environments is mandatory


Nice to Have

Experience with Next.js or SSR frameworks
Familiarity with Ant Design, Storybook, Figma, or data visualization libraries
Knowledge of accessibility (a11y) and frontend performance optimization


Why Join Us?

High-trust, no-politics culture where ownership and accountability are core to how we work
Collaborative, ego-free team that believes in building together and supporting each other
Learning-first mindset with peer reviews, mentorship, and exposure to real business challenges
Modern stack and autonomy — work with the latest tools and influence how we build
Mission-driven impact — build tools that transform how India's top brands win on digital shelves


How to apply for this opportunity?

Step 1: Click On Apply! And Register or Login on our portal.
Step 2: Complete the Screening Form & Upload updated Resume
Step 3: Increase your chances to get shortlisted & meet the client for the Interview!


About Uplers:

Our goal is to make hiring reliable, simple, and fast. Our role will be to help all our talents find and apply for relevant contractual onsite opportunities and progress in their career. We will support any grievances or challenges you may face during the engagement.

(Note: There are many more opportunities apart from this on the portal. Depending on the assessments you clear, you can apply for them as well).

So, if you are ready for a new challenge, a great work environment, and an opportunity to take your career to the next level, don't hesitate to apply today. We are waiting for you!",https://media.licdn.com/dms/image/v2/C560BAQG6KMZp1zAiTA/company-logo_100_100/company-logo_100_100/0/1630605289074/weareuplers_logo?e=1776297600&v=beta&t=rp6QFH3R2MuF0wa7hixiELjTqAgpviB5MU5-BCy-Pe0
Senior Software Engineer-Frontend,TartanHQ,https://www.linkedin.com/jobs/search-results/,https://www.linkedin.com/jobs/search-results/,"About the job
About TartanHQ

TartanHQ is an AI-first enterprise-tech company backed by 500 Global, Info Edge Ventures, and AngelList. We've raised ~$8.5M and are rapidly scaling toward profitability. Our platform powers operations for India's leading financial institutions including HDFC Bank, Bajaj Allianz, Care Health, Yes Bank, and 50+ enterprises.

We provide three core products: HyperVerify (80+ verification APIs), HyperSync (unified APIs for HRMS/ERP/CRM), and HyperApps (AI agents for insurance, banking, and compliance automation).

Role Overview

We are seeking a Senior Frontend Engineer with 4-7 years of experience to lead the frontend development of TartanHQ's HR/payroll platform. You will design and implement responsive, performant UIs using React and Next.js, own component architecture, and ensure excellent user experience across all products. Your expertise in modern frontend practices will shape how thousands of users interact with TartanHQ daily.

Key KPIs

Sprint delivery utilization: >90%
Core Web Vitals: All in green
Pull request reviews: 100% coverage
Test coverage: 80%+

Day-to-Day Responsibilities

Your week includes: component development and UI implementation, code reviews and design feedback, performance optimization and testing, sprint planning and standups, and collaboration with design and product teams. You'll own features from wireframe to production within 2-week sprints.

Core Responsibilities

UI Development (50% time allocation)

Build responsive UIs using React and Next.js
Implement pixel-perfect designs with TypeScript
Create reusable components and design systems
Implement state management with Redux or Zustand
Style applications with Tailwind CSS or CSS-in-JS
Handle responsive design across all device sizes

Performance & Quality (30% time allocation)

Optimize Core Web Vitals (LCP, FID, CLS)
Implement code splitting and lazy loading
Write unit tests with Jest and integration tests with Cypress
Maintain test coverage >80%
Debug and fix performance bottlenecks

Leadership & Collaboration (20% time allocation)

Review code and provide technical guidance
Collaborate with designers on implementation details
Work with backend engineers on API integration
Mentor junior frontend engineers

Required Skills & Qualifications

4-7 years of frontend development experience
B.Tech in Computer Science or related field
Expert proficiency in React with modern hooks
Strong Next.js experience
Solid TypeScript fundamentals
Experience with state management libraries
Proficiency with CSS, Tailwind, or CSS-in-JS
Hands-on testing experience (Jest, Cypress, React Testing Library)
Understanding of responsive design principles
Git and CI/CD pipeline experience

Preferred Skills

Design system development experience
Web accessibility (WCAG 2.1) implementation
Server-Side Rendering (SSR) and Static Generation
Micro-frontends architecture
Web Performance APIs and monitoring

What We Look For

Excellence: You ship pixel-perfect, performant code
Ownership: You take responsibility for user experience
Growth: You stay updated with frontend best practices
Collaboration: You work well with designers and product
Detail-oriented: You care about accessibility and performance

Reporting To

Engineering Manager",https://media.licdn.com/dms/image/v2/D560BAQHdus5REJIr8w/company-logo_100_100/company-logo_100_100/0/1712315198515/tartanhq_logo?e=1776297600&v=beta&t=FN_cQQ3MAew39jPsvSRVmBdM4cGbaFlRwiHX5YZ41EI
Frontend Developer,ClickPost,https://www.linkedin.com/jobs/search-results/,https://www.linkedin.com/jobs/search-results/,"About the job
This job is sourced from a job board. Learn More
Clickpost is Asia’s fastest-growing Logistics Intelligence Platform working with leading retailers across India (including 6 Unicorns) to help them manage 120+ Logistics partners via a single API gateway.

We are funded by Times Internet, Rebright partners, and other marquee investors and are consecutively profitable. We have grown 5x in the past 1 year.

We are hiring a Frontend developer for our team. The person will be directly contributing to our exponential growth.

### Responsibilities

Translate wireframes/designs to high-quality code.
Design and maintain reusable, reliable and high-performance code.
Ensuring web design is optimized for smartphones.
Maintaining brand consistency throughout the design.
Identify Bottlenecks and come up with the optimised and scalable solution.
Help maintain code quality by code reviews and automation of operations.

### What you bring to us from the professional side

2+ Years experience in OO JavaScript and Front-end frameworks specifically.
Expertise knowledge of HTML5/ CSS3/ JavaScript.
Familiar with UI layouts, SASS, Bootstrap, and the CSS GRID system.
Proficient with JavaScript frameworks/libraries such as React, AngularJs, jQuery, etc.
Good understanding of asynchronous request handling, partial page updates, and Ajax.
Proficient understanding of cross-browser compatibility issues and ways to work around them.
Experience with various JavaScript module bundlers (e.g. webpack, gulp, etc.).
Experience with graphic design applications such as Figma, Sketch, Adobe XD, Photoshop(PSD to HTML).
Proficient understanding of code versioning tools, such as Git, Mercurial, or SVN.

### Nice to haves

Bonus to have an understanding of backend technologies like NodeJs & Python.
Knowledge of isomorphic React.

### You would be a good fit if?

No, you need not know it all, but are inquisitive and have a willingness to learn.
We don’t believe in micro-management hence, you should be open to feedback, take ownership of tasks, and has a tremendous passion for the work.
Humble and Adaptive in approach.
We are transparent as a company and expect you to be transparent and trustworthy.
We are a growing startup, you should be able to catch up with the hustle and be proactive. Skills:- Javascript, HTML/CSS, React.js, TypeScript, NodeJS (Node.js), AngularJS (1.x) and Python",https://media.licdn.com/dms/image/v2/D560BAQH6WqtAtXtUyQ/company-logo_100_100/B56ZvCHW4dHMAU-/0/1768488268874/clickpost1_logo?e=1776297600&v=beta&t=fsxOy31TzHRHCQf1p3ITvT_sS2q5h0BDcpN6SZGMrJY
Senior Frontend Developer,Thumbmunkeys Ltd,https://www.linkedin.com/jobs/search-results/,https://www.linkedin.com/jobs/search-results/,"About the job
Overview

We are seeking a skilled Front-End Developer with a strong background in modern web technologies to join our innovative team. The ideal candidate will have significant experience building high-quality, scalable, and responsive user interfaces using React.js.

Responsibilities

Develop and maintain front-end architecture for scalable and high-performance web applications.
Write clean, maintainable, and efficient code using HTML, SCSS, CSS, JavaScript, and TypeScript.
Build dynamic and interactive web applications and dashboards using React.js, Next.js (preferrable) and related libraries.
Leverage modern JavaScript (ES6+) and TypeScript to enhance code maintainability and performance.
Implement reusable components using React’s component-based architecture and hooks.
Manage application state effectively using state management tools such as Redux (Toolkit), Zustand, or React Context API.
Optimize web performance using tools such as Google Web Vitals and PageSpeed Insights.
Utilize Service Workers and Web Workers to implement multi-threaded capabilities for smoother user experiences.
Work with modern build tools like Vite, Webpack, and apply linting tools such as ESLint and Prettier for code quality.
Integrate third-party APIs including Google Maps JavaScript API and enable real-time features with WebSockets.
Perform thorough testing and optimization of UI components to ensure high usability and responsiveness.
Collaborate closely with designers, back-end developers, and other stakeholders to deliver seamless user experiences.
Participate in code reviews, mentor junior developers, and contribute actively to team discussions and architectural decisions

Qualifications

Bachelor’s degree in Computer Science, a related field, or equivalent practical experience.
7 to 9 years of relevant work experience in front-end development.
Strong proficiency in HTML, SCSS, CSS, JavaScript, and TypeScript.
Hands-on experience with React.js and its ecosystem (e.g., App Router, TanStack Query).
Expertise in designing and developing user interfaces using HTML5, SCSS and CSS3.
Solid understanding of front-end development principles and best practices.

If you are a talented Frontend Developer and have a passion for building high-quality web sites, we would love to hear from you.",https://media.licdn.com/dms/image/v2/C4E0BAQG0RBe4wRViLg/company-logo_100_100/company-logo_100_100/0/1678575604782/thumbmunkeys_ltd_logo?e=1776297600&v=beta&t=8E2iEYTPw-Ol__K1ZHrDmlfuozybKqVJBFtEKpo4iG0
Sr. Frontend Developer (React),CONXAI,https://www.linkedin.com/jobs/search-results/,https://www.linkedin.com/jobs/search-results/,"About the job
Are you an experienced Frontend Engineer with a strong background in React, Redux, TypeScript, CSS, and HTML? Do you have experience with AWS Cognito for secure authentication?

Join our innovative team and be a key contributor to our cutting-edge AI Platform for the Architecture, Engineering, and Construction (AEC) industry.

Tasks

Develop highly interactive and user-friendly web applications using React, Redux, and TypeScript

Collaborate with cross-functional teams for seamless integration of frontend components with backend services

Leverage AWS Cognito for secure user authentication and authorization

Create reusable, clean, and well-documented code with HTML, CSS, and other frontend technologies

Utilize RESTful JSON APIs for efficient data communication between frontend and backend

Participate in code reviews, debugging, and troubleshooting of frontend systems

Stay abreast of emerging frontend technologies and industry best practices to drive continuous improvement


Requirements

Bachelor's or Master's degree in Computer Science or a related field

Minimum 5 years of professional experience as a Frontend Engineer, preferably with React, Redux, and TypeScript

Strong proficiency in HTML, CSS, and client-side JavaScript

Experience with AWS Cognito or similar authentication services

Proven expertise in building scalable, high-performance frontend applications for B2C or B2B software products

Familiarity with backend technologies and RESTful JSON APIs is a plus

Solid architectural skills with a focus on performance, scalability, and security

Knowledge of CI/CD pipelines and automated deployment processes

Excellent problem-solving and communication skills


Benefits

Work with Purpose: Join a dynamic, cross-functional team shaping the future of cutting-edge technology in a fast-paced, collaborative environment.

Growth That Moves With You: Take advantage of continuous learning opportunities, mentorship, and a clear path for professional development and career progression.

Modern Workplace: Enjoy a thoughtfully designed office equipped with modern amenities to support your productivity and well-being.

Global Culture: Be part of a diverse and international team that values different perspectives—complete with regular team events, retreats, and cultural exchanges.",https://media.licdn.com/dms/image/v2/C560BAQFskjv7XfsAvg/company-logo_100_100/company-logo_100_100/0/1630645145145/consai_logo?e=1776297600&v=beta&t=ZbcnTCELo8fx0ra8JTyk174v4JFpe2QnNhKyPkyr5OA
Frontend (React.js) Developer,one.com,https://www.linkedin.com/jobs/search-results/,https://www.linkedin.com/jobs/search-results/,"About the job
Job Summary

The Frontend (React.js) developer role at group.one is a strategic position focused on developing and enhancing scalable and secure SaaS products that help small and medium-sized businesses in Europe grow by simplifying how they communicate, collaborate, and manage their online presence - all from a single, integrated platform. This role requires close collaboration with Group Head, Team Lead, and Product Manager.

Job Description

Software development: Develop, maintain client-side applications, user interfaces
Scalable modular design: Design or refactor the architecture into loosely coupled components, create reusable components across products, and ensure they are easy to update and replace
Technical Leadership: Provide expert guidance and mentorship to development teams, promoting best practices in coding, design patterns, and frameworks
Cross-functional Collaboration: Work closely with UX/UI designers, front-end developers, product managers to translate and align the design with the strategic goals of the product, ensuring scalability, efficiency, and ease of integration
Project Planning: Participate in project planning by providing accurate estimations, identifying integration points, and assessing technical risks with mitigation strategies
Code Quality Oversight: Ensure code quality aligns with design and architectural principles through regular code reviews, focusing on security, scalability, and maintainability
Performance Optimization: Ensure optimal application performance, responsiveness, and scalability across different devices and browsers

Mandatory

Skills requirements:

React.js
State-Management (Redux, context API)
JavaScript and TypeScript
CSS preprocessor (Less, Sass)
Component composition and reusability
Version control systems (Git)
Unit testing frameworks (Jest and React-testing-library)
Optimizing applications for performance and scalability
Problem-solving, data structures, and algorithms
Confluence and Jira

Good To Have

Understanding of Web workers
Experience building PWA application
Experience with React Native
Knowledge of REST API tools

Education And Experience Requirements

Bachelor’s degree (B.Tech. or B.E.) in Computer Science or Information Technology
5–8 years of relevant experience in frontend development using ReactJS and TypeScript

Keywords

React JS, Redux, TypeScript, JavaScript, Jest, React-testing-library, CSS processors, React-Native, CDN, Code review, Code quality, Git, SonarQube, Webpack, Babel, NPM, Unit testing, Design principles, Data structures, Algorithms, Confluence, Jira, Agile

We welcome talent in all its diversity. Your gender, background, age, beliefs, or personal story do not define your opportunities here, what matters to us is mutual respect, personal appreciation, and creating a workplace where motivation and collaboration thrive. We believe in supporting your personal and professional growth, recognizing you as both an individual and a valued team member.

We want to continue to grow with you and why we look forward to getting to know you.

Welcome to one.com, where innovation meets passion. We are a leading web hosting and domain registration company dedicated to empowering individuals and businesses online. Since 2002, we have been committed to delivering reliable, user-friendly, and affordable web services. Our mission is to make it easy for anyone to build and maintain an online presence, and we believe in integrity, innovation, and putting our customers first.",https://media.licdn.com/dms/image/v2/D4E0BAQGmo_qP7pzKng/company-logo_100_100/B4EZsnIBLyHMAQ-/0/1765887972498/onecom_logo?e=1776297600&v=beta&t=K__mr-xGpLe38KK4_xWQbFuZlcIThwbwAjoXsxNqDOg
Sr. Frontend Developer (React),Uplers,https://www.linkedin.com/jobs/search-results/,https://www.linkedin.com/jobs/search-results/,"About the job
Experience: 5.00 + years

Salary: INR 3000000-3500000 / year (based on experience)

Expected Notice Period: 15 Days

Shift: (GMT+05:30) Asia/Kolkata (IST)

Opportunity Type: Office ()

Placement Type: Full Time Permanent position(Payroll and Compliance to be managed by: A no-code agentic AI platform automating complex workflows in AEC and physical industries.)

(*Note: This is a requirement for one of Uplers' client - A no-code agentic AI platform automating complex workflows in AEC and physical industries.)

What do you need for this opportunity?

Must have skills required:

B2B, RESTful JSON APIs, Codereviews, react, AWS, HTML, HTML / CSS, JavaScript, TypeScript

A no-code agentic AI platform automating complex workflows in AEC and physical industries. is Looking for: 

Sr. Frontend Developer (React)

Are you an experienced Frontend Engineer WITH_REPLACED a strong background in React, Redux, TypeScript, CSS, and HTML? Do you have experience WITH_REPLACED AWS Cognito for secure authentication?

Join our innovative team and be a key contributor to our cutting-edge AI Platform for the Architecture, Engineering, and Construction (AEC) industry.

Tasks

Develop highly interactive and user-friendly web applications using React, Redux, and TypeScript
Collaborate WITH_REPLACED cross-functional teams for seamless integration of frontend components WITH_REPLACED backend services
Leverage AWS Cognito for secure user authentication and authorization
Create reusable, clean, and well-documented code WITH_REPLACED HTML, CSS, and other frontend technologies
Utilize RESTful JSON APIs for efficient data communication between frontend and backend
Participate in code reviews, debugging, and troubleshooting of frontend systems
Stay abreast of emerging frontend technologies and industry best practices to drive continuous improvement


Requirements

Bachelor''''s or Master''''s degree in Computer Science or a related field
Minimum 5 years of professional experience as a Frontend Engineer, preferably WITH_REPLACED React, Redux, and TypeScript
Strong proficiency in HTML, CSS, and client-side JavaScript
Experience WITH_REPLACED AWS Cognito or similar authentication services
Proven expertise in building scalable, high-performance frontend applications for B2C or B2B software products
Familiarity WITH_REPLACED backend technologies and RESTful JSON APIs is a plus
Solid architectural skills WITH_REPLACED a focus on performance, scalability, and security
Knowledge of CI/CD pipelines and automated deployment processes
Excellent problem-solving and communication skills


Benefits

Work WITH_REPLACED Purpose: Join a dynamic, cross-functional team shaping the future of cutting-edge technology in a fast-paced, collaborative environment.
Growth That Moves WITH_REPLACED You: Take advantage of continuous learning opportunities, mentorship, and a clear path for professional development and career progression.
Modern Workplace: Enjoy a thoughtfully designed office equipped WITH_REPLACED modern amenities to support your productivity and well-being.
Global Culture: Be part of a diverse and international team that values different perspectives—complete WITH_REPLACED regular team events, retreats, and cultural exchanges.


Engagement Type: Fulltime

Job Type: Permanent

Location: Gurugram, Haryana, India ( onsite)

Working time: 10:30 AM to 7:30 PM

Interview Process - 2-3 rounds (Screening call, technical call, optional team socialising)

How to apply for this opportunity?

Step 1: Click On Apply! And Register or Login on our portal.
Step 2: Complete the Screening Form & Upload updated Resume
Step 3: Increase your chances to get shortlisted & meet the client for the Interview!


About Uplers:

Our goal is to make hiring reliable, simple, and fast. Our role will be to help all our talents find and apply for relevant contractual onsite opportunities and progress in their career. We will support any grievances or challenges you may face during the engagement.

(Note: There are many more opportunities apart from this on the portal. Depending on the assessments you clear, you can apply for them as well).

So, if you are ready for a new challenge, a great work environment, and an opportunity to take your career to the next level, don't hesitate to apply today. We are waiting for you!",https://media.licdn.com/dms/image/v2/C560BAQG6KMZp1zAiTA/company-logo_100_100/company-logo_100_100/0/1630605289074/weareuplers_logo?e=1776297600&v=beta&t=rp6QFH3R2MuF0wa7hixiELjTqAgpviB5MU5-BCy-Pe0
Frontend Developer,Binary Semantics Ltd.,https://www.linkedin.com/jobs/search-results/,https://www.linkedin.com/jobs/search-results/,"About the job
🚀 Dear Connections,

We are hiring at Binary Semantics for the Gurgaon location!

💻 Position: Angular Developer (Intermediate)
📍 Location: Gurgaon | Hybrid / Remote
🕒 Experience: 3–4 Years
📄 Employment Type: Full-time

We are looking for a passionate Angular Developer with strong experience in Angular 14+ and solid front-end fundamentals to build scalable and responsive web applications.

🔹 Key Skills

✔ Angular 14+
✔ HTML5, CSS3, JavaScript (ES6+), TypeScript
✔ RxJS & REST API Integration
✔ State Management (NgRx / NGXS)
✔ Angular Material / Bootstrap
✔ Responsive UI Development

☁️ Cloud Exposure

Basic understanding of AWS services like:
• S3
• CloudFront
• CodeBuild
• CI/CD pipelines

⭐ Good to Have

• Testing frameworks (Jasmine, Karma)
• Agile / Scrum experience

🎯 What We Offer

✨ Opportunity to grow into a Senior Angular Developer role
✨ Work with modern front-end technologies
✨ Collaborative and supportive work environment

📩 Interested candidates can share their CV at:
Sangita.hazra@binarysemantics.com",https://media.licdn.com/dms/image/v2/D560BAQEesbT3UbDs5A/company-logo_100_100/B56ZzC7FuGH8AU-/0/1772796796429/binary_semantics_ltd_logo?e=1776297600&v=beta&t=fpaTJa83XmDOid9H4QpxXmKKdOzvxL9C3Pinj4swdHk
